Player,Shot90,GoalConvRate,DribbleSucRate,TouchInBox90,Pass90,PassAcc,FwdPass90,KeyPass90,PassToBoxAcc,ThruPass90,ThruPassAcc,Score90
L. Messi,5.33,18.909,76.36,4.13,54.44,83.35,18.44,0.97,65.85,5.73,41.55,1.28
D. Tadić,1.94,31.783,70.22,5.81,42.19,74.71,12.01,1.23,55.11,2.88,37.17,0.75
R. Skov,3.6,18.497,69.18,3.43,34.82,83.4,7.63,0.33,59.73,0.69,30.3,0.67
Mohamed Salah,3.69,15.686,62.22,5.74,27.52,76.78,6.61,0.63,58.33,1.83,32.67,0.69
R. Sterling,2.18,24.409,71.93,5.72,37.09,84.24,5.88,0.69,56.65,0.82,37.5,0.8
S. Mané,2.13,22.314,66.67,4.44,30.31,78.68,7.03,0.42,61.96,1.3,37.84,0.53
E. Hazard,2.53,17.931,80.09,5.52,49.94,85.3,11.81,0.66,73.05,0.87,58,0.57
Neymar,3.76,20.161,68.9,4.7,54.99,82.29,20.32,0.82,64.25,4.85,35.63,0.91
N. Pépé,2.91,18.462,66.86,3.06,30.04,80.64,7.63,0.54,56.91,1.14,43.14,0.61
J. Yeboah,4.42,22.68,69.47,4.55,25.95,71.75,8.33,0.46,63.86,1.23,44.44,0.96
H. Ziyech,4.8,9.302,65.37,3.52,48.75,74.19,15.21,0.78,54.15,3.98,33.18,0.78
C. Vela,3.88,16.438,76.85,4.09,32.02,77.78,8.55,0.8,62.76,2.04,27.27,0.85
J. Forrest,2.2,18.182,78.5,4.39,35.39,83.99,6.01,0.58,63.93,0.47,53.85,0.62
L. Trossard,3.7,13.58,77.26,4.39,40.66,76.12,12.06,0.89,62.45,2.47,33.33,0.62
J. Bowen,2.41,19.469,67.05,3.11,21.81,74.12,6.52,0.3,53.68,0.7,27.27,0.47
H. Lozano,3.08,17.323,73.51,4,23.1,74.11,4.38,0.65,55.56,0.82,29.41,0.61
Rafa Silva,2.22,24.419,68.7,4.31,27.82,77.83,7.84,0.72,66.02,1.16,37.78,0.59
João Victor,2.6,23.529,68.28,4.63,28.83,75.56,5.54,0.74,69.01,0.7,34.78,0.76
Á. Di María,3.16,14.706,72.89,4.11,47.53,78.53,12.62,0.67,48.52,3.16,33.09,0.83
V. Tsygankov,2.45,15.833,76.23,2.9,36.54,78.68,9.24,0.47,57.3,1.28,38.1,0.57
H. Wilson,2.61,14.844,75.16,1.47,29.47,76.71,7.9,0.31,61.65,1.08,33.96,0.41
D. Rossi,2.99,14.035,61.87,5.66,29.65,80.74,4.61,0.42,53.7,0.76,24.14,0.58
F. Thauvin,3.16,16.514,67.75,3.98,39.16,78.28,9.52,0.46,49.29,1.8,32.26,0.72
L. Sané,2.73,18.75,70.44,6.56,37.76,82.86,6.84,0.43,59.48,0.65,21.74,0.85
V. Claesson,2.46,14.063,71.43,4.15,33.56,80.34,8.44,0.46,64.46,1.21,33.33,0.46
S. Sinclair,2.51,16.505,69.07,4.21,31.1,86.77,5.7,0.19,54.93,0.29,16.67,0.44
Mikel Oyarzabal,1.95,18.28,64.32,2.89,28.33,79.57,7.07,0.34,52.1,1.03,38.78,0.35
D. Royer,2.4,20.238,67.78,4.06,26.42,68.86,7.57,0.26,50.65,0.63,31.82,0.66
R. van Wolfswinkel,2.85,16.19,60.87,3.67,26.27,79.52,6.47,0.27,54.55,0.46,41.18,0.62
F. Selemani,2.69,16.346,70.45,1.96,32.48,73.83,9.15,0.47,55.03,1.58,37.7,0.44
Jota,3.54,13.821,68.52,3.86,28.6,77.34,6.88,0.4,55.38,1.3,42.22,0.86
J. Bamba,1.92,19.512,68.5,2.29,32.78,81.37,9.01,0.44,52.83,1.08,36.96,0.42
A. Mitriță,3.66,13.793,71.28,2.43,26.35,75.84,9.96,0.41,60.44,1.77,26.79,0.48
H. Onyekuru,1.9,20.988,66.17,3.9,16.99,76.76,3.13,0.35,64.29,0.47,25,0.52
Nani,2.28,19.048,73.6,2.55,37.04,79.8,8.84,0.43,56,1.33,28.57,0.54
C. Gakpo,2.04,40.541,72.6,4.4,24.72,72.83,6.72,0.5,51.47,0.88,31.25,1.33
G. Bale,3.92,11.852,72.22,4.73,34.69,77.17,5.68,0.64,53.17,0.87,36.67,0.64
D. Lukebakio,2.75,19.753,74.49,2.85,26.24,78.24,5,0.37,47.67,1.19,34.29,0.58
B. Kololli,2.16,19.512,69.03,2.67,28.22,76.15,7.55,0.45,54.84,0.82,22.58,0.47
D. Vanzeir,2.6,17.442,60.3,3.6,21.21,68.62,3.99,0.15,39.24,0.54,33.33,0.48
Tòfol Montiel,3.9,11.215,74.85,2.73,31.03,74.65,10.67,0.44,53.78,1.71,27.66,0.51
S. Bergwijn,2.53,13.514,66.67,3.9,31.73,83.85,6.88,0.55,63.06,1.32,39.66,0.55
J. Russell,2.08,16.667,67.42,4.16,27.27,74.11,6.54,0.84,61.24,1.21,34.69,0.54
Woo-Yeong Jeong,2.21,21.875,66.44,3.04,41.79,81.5,10.94,0.24,55.66,1,27.59,0.69
M. Suleymanov,3.02,18.987,78.26,2.87,37.52,83.18,7.88,0.46,60.44,0.46,25,0.68
Á. Mena,2.13,23.333,67.15,2.91,36.32,87.68,7.1,0.39,73.97,0.71,20,0.75
Pizzi,1.72,16.854,69.28,2.76,56.97,83.32,17.54,0.62,65.23,2.06,44.86,0.61
T. Hazard,2.25,16.484,69.68,3.22,37.57,79.92,9.42,0.69,53.66,1.31,39.62,0.54
O. Sparre Klitten,2.04,22.727,73.14,4.24,26.07,76.84,6.87,0.46,71.84,0.74,41.67,0.77
M. Gradel,2.9,10.606,67.65,3.5,30.21,74.89,7.65,0.46,51.05,1.06,25,0.38
D. Seys,4.04,8.861,64.76,3.58,25.01,67.01,5.34,0.38,50.3,1.35,30.19,0.61
T. Goiginger,2.18,17.284,64.97,3.3,24.23,70.07,6.96,0.64,56.38,1.56,29.31,0.59
S. Gnabry,3.16,13.861,59.22,5.23,38.29,81.93,7.67,0.56,56.07,1,37.5,0.6
B. Linssen,2.92,12.5,50,3.55,19.53,69.03,6.86,0.13,64.71,0.73,53.57,0.45
I. Piatti,2.65,21.212,67.74,3.01,27.73,80.17,7.02,0.44,46.75,1.65,29.27,0.68
R. Mahrez,3.2,13.084,82.19,4.79,47.87,82.56,8.53,0.6,54.1,1.71,38.6,0.75
E. Višća,3.46,8.642,71.88,5,33.84,69.7,8.4,0.68,49.22,1.05,26.53,0.53
M. Stoch,2.98,10.687,75,0.98,33.63,80.15,9.87,0.32,54.75,1.48,38.46,0.48
B. Saka,2.58,16.667,72.97,5.88,29.95,74.64,7.6,0.72,57.69,1,28.57,0.57
O. Idrissi,2.87,8.696,70.87,4.74,40.39,80.66,7.56,0.57,61.29,1.12,33.33,0.4
O. Dembélé,2.39,18.667,74.62,4.94,44.43,78.78,8.82,0.67,57.03,1.82,28.07,0.67
M. Cornet,2.95,22.581,63.48,4.67,27.59,76.86,3.76,0.48,56.86,0.43,44.44,0.91
T. Bongonda,2.53,15.217,69.11,2.75,27.36,76.56,6.83,0.33,51.67,0.8,27.59,0.58
J. Okita,2.72,12.727,63.59,3.76,26.01,74.79,5.02,0.57,51.79,0.35,28.57,0.52
A. Claude Maurice,2,18.667,70.57,2.1,27.67,80.48,6.28,0.19,47.31,0.72,22.22,0.45
S. Reyes,1.75,19.355,66.52,2.31,26.22,71.61,5.58,0.68,52.49,0.59,42.86,0.31
D. Cheryshev,1.92,20,63.28,3.16,31.54,67.88,7.47,0.89,41.38,0.65,27.27,0.56
S. Feghouli,2.02,17.568,67.81,2.24,43.13,78.8,12.01,0.6,47.02,1.47,33.33,0.58
F. Kamano,2.51,12.5,66.54,2.27,29.68,82.36,4.83,0.39,60.87,0.72,33.33,0.26
D. Sallói,2.64,17.808,71.58,3.9,20.14,76.88,3.1,0.22,50,0.51,21.43,0.61
A. Katai,3.41,11.111,74.84,3.64,32.23,78.68,6.35,0.44,45.83,1.16,30,0.55
N. Ngamaleu,2.99,13.265,63.43,4.72,32.66,75.37,7.04,0.55,50.89,0.79,23.08,0.49
David Neres,1.67,18.841,67.62,4.75,38,83.47,7.54,0.44,65.04,0.82,52.94,0.59
Philippe Coutinho,3.14,9.42,73.19,3.73,56.33,89.5,13.6,0.39,69.12,1.75,38.96,0.36
A. Zinkovskiy,2.62,13.793,71.12,1.87,33.75,75.34,9.29,0.39,50,1.51,30,0.3
J. Sancho,1.31,26.531,73.51,3.5,46,85.14,10.23,0.43,66.67,1.23,36.96,0.78
I. Sarr,1.65,14.607,67.71,3.35,23.36,77.53,6.28,0.39,60,0.63,32.35,0.4
S. Berghuis,3.11,10.317,74.33,3.78,57.89,79.78,15.12,0.86,57.72,2.37,39.58,0.6
Y. Brahimi,1.81,16.667,73.38,2.85,34.72,80.28,11.16,0.39,67.91,1.21,34.62,0.46
M. Thuram,2,18.571,66.86,3.8,25.21,77.24,6.05,0.46,41.77,0.46,31.25,0.23
M. Spielmann,3.47,10.656,64.76,2.11,25.44,75.28,5.75,0.31,43.96,0.48,35.29,0.48
Ayoze Pérez,1.49,24.528,58.78,2.75,22.22,77.27,6.14,0.22,58.57,1.12,37.5,0.42
Rafael Camacho,4.2,7.547,71.43,5.47,28.94,81.64,6.74,0.63,58.82,0.4,40,0.56
J. Lolley,3.27,8.219,77.38,2.6,31.83,73.35,10.12,0.56,53.23,0.92,31.71,0.42
C. Domínguez,2.91,13.953,65.82,3.56,25.14,75.07,6.03,0.34,59.55,0.85,36,0.47
Pablo Hernández,2.4,11.881,70.44,3.16,58.62,76.7,20.89,0.81,61.54,2.9,40.16,0.53
Pedro,2.38,14.118,71.94,4.01,50.75,84.75,9.9,0.42,59.26,0.95,41.18,0.48
A. Martial,1.98,21.818,64.1,4.21,36.68,80.98,7.34,0.32,55.67,0.97,48.15,0.47
A. Zeneli,2.36,14.103,66.03,2.6,28.07,79.72,6.6,0.33,67.44,0.73,25,0.6
R. Oudin,2.52,13.415,73.49,3.57,25.96,62.56,9.5,0.25,32.14,1.32,18.6,0.43
D. Maatsen,1.88,25,65.48,3.18,19.11,63.45,5.53,0.43,40.7,0.67,47.06,0.67
E. Hansson,1.69,16,64.97,2.29,35.31,77.34,9.13,0.56,55.68,0.85,44.74,0.44
Heber,2.81,21.429,61.54,4.37,26.4,75.67,6.02,0.45,59.52,1.2,29.17,0.85
F. Chiesa,3.61,7.643,69.19,4.25,24.89,72.02,6.25,0.51,48.48,1.08,27.66,0.35
A. Bila,,33.333,,,,,,,,,,#VALUE!
N. Sliti,2.47,12.5,70.45,1.85,30.24,78.33,9.51,0.57,59.29,1.85,27.78,0.49
M. Schnatterer,3.25,13.483,56.6,1.46,30.97,58.07,12.37,0.26,40.29,1.35,27.03,0.58
O. Watkins,2.46,11.881,75.24,4.19,31.55,78.75,6.9,0.51,52.5,0.8,33.33,0.39
Heriberto Tavares,2.86,13.483,58.43,4.18,21.1,64.08,4.5,0.32,35.48,0.45,28.57,0.55
Trézéguet,3.66,6.742,65.36,3.7,34.44,74.61,10.25,0.43,50.86,1.5,26.03,0.42
I. Perišić,2.67,8.054,84.33,4.82,35.81,72.72,6.56,0.59,41.89,0.61,23.53,0.36
C. Robinson,3.21,13.483,83.94,3.64,27.66,74.45,7.28,0.65,46.53,0.97,29.63,0.54
R. Vargas,2.82,13.333,68.21,3.7,24.67,67.85,7.3,0.47,49.37,0.75,20.83,0.54
R. Babel,1.8,17.647,82.46,2.89,33.93,82.88,6.18,0.24,40.91,0.42,37.5,0.43
K. Peterson,2.56,15,63.39,3.77,24.82,75.55,5.08,0.38,56.36,0.58,16.67,0.42
T. Damgaard,2.78,19.355,73.73,4.88,32.78,75.27,9,0.4,64.63,0.76,58.82,0.85
Z. Aboukhlal,2.95,14.103,63.68,3.75,23.21,77.49,4.96,0.27,45.9,0.61,18.75,0.49
A. Nwakaeme,2.61,13.636,79.74,3.71,36.53,79.92,9.89,0.62,55.64,1.49,44,0.63
D. Machís,2.87,17.188,72.77,2.69,23.45,71.7,5.11,0.22,34.21,0.54,33.33,0.58
Vagner,3.2,10.169,67.55,4.39,27.72,72.41,7.54,0.43,63.83,0.54,40,0.49
Elías Hernández,2.28,15.493,73.26,2.09,34.05,76.15,8.35,0.48,51.61,1.12,37.14,0.52
Mateo García,2.21,15.714,68.46,2.97,31.53,81.08,8.39,0.32,48.44,0.79,20,0.35
G. Tsitaishvili,2.56,14.085,70.55,2.56,22.55,66.29,5.62,0.58,49.02,1.73,35.42,0.43
V. Fischer,2.37,14.103,71.82,3.92,30.98,83.81,6.72,0.33,64.94,0.82,44.44,0.79
M. Ødegaard,2.32,11.579,69.12,1.98,38.89,82.15,13.44,0.71,71.91,1.47,48.33,0.53
F. Picault,2.5,12.36,70.93,3.62,24.06,76.66,3.28,0.28,36.36,0.53,31.58,0.33
M. Oršić,2.69,11.628,62.2,3.72,33.68,73.07,9.32,0.47,49.4,0.72,8.7,0.47
S. Kittel,1.82,20.755,68.82,2.33,27.84,74.66,8.22,0.34,66.67,1.06,41.94,0.52
J. Hora,2.22,16.418,67.59,3.21,27.29,67.6,7.39,0.4,55.66,0.96,31.03,0.3
T. Murg,2,13.095,71.38,3.12,34.02,78,7.37,0.57,55.07,0.83,28.57,0.4
D. Malen,3.06,18.966,83.21,4.96,28.45,79.59,5.96,0.58,46.43,0.69,46.15,0.79
S. Chukwueze,2.97,8.871,70,4.17,28,76.39,6.3,0.38,64.62,1.46,34.43,0.45
C. Fassnacht,2.85,9.821,59.65,3.26,29.89,78.43,8.71,0.54,54.72,0.64,32,0.41
S. Benrahma,3.87,8.661,67.78,4.72,34.7,76.4,8.19,0.91,52.32,1.37,22.22,0.76
M. Terrier,2.11,18.033,70.18,3.28,29.75,84.69,6.66,0.48,74.58,0.86,52,0.41
B. Traoré,2.31,14.474,65.22,3.23,39.17,84.54,7.61,0.21,61.76,1.25,36.59,0.42
I. Sadiq,3.43,18.182,61.82,5.68,24.91,69.38,5.68,0.47,48.94,0.93,25,0.62
M. Djenepo,1.64,21.569,66.08,3.59,20.93,82.06,5.07,0.19,65.52,0.35,18.18,0.38
B. Raman,2.84,18.644,61.67,3.56,23.45,69.06,6.58,0.43,51.61,0.72,53.33,0.82
S. El Shaarawy,2.59,14.865,68.31,3.57,32.87,81.88,7.01,0.74,54.44,0.91,38.46,0.5
G. Masouras,2.91,12.791,66.67,4.2,29.45,77.24,7.21,0.47,56.9,0.68,40,0.47
K. Despodov,2.18,20.755,59.56,3.25,18.94,67.83,5.19,0.41,55.41,0.74,38.89,0.82
B. Tekpetey,3.45,11.579,67.12,3.27,21.14,62.2,7.88,0.33,45.98,0.94,30.77,0.58
P. Schürpf,2.7,11.458,68.54,3.89,28.64,59.59,9.74,0.37,31.07,0.68,20.83,0.45
Y. Gervinho,1.59,25.581,58.67,2.78,19.07,84.27,4.44,0.37,75.86,0.19,40,0.48
B. Mbeumo,1.95,18.033,60.59,2.27,27.69,74.36,7.67,0.35,40.28,0.99,19.35,0.45
C. Antwi-Adjej,2.3,17.188,73.94,3.49,26.17,75.24,7.13,0.65,47.22,0.68,15.79,0.54
A. Silva,1.95,13.158,66.67,2.26,45.67,77.66,11.64,0.64,45.37,2.44,27.37,0.57
D. Berardi,3.62,7.519,75.81,2.53,35.42,78.32,8.19,0.25,55.8,1.28,23.4,0.25
S. Ghoddos,2.35,13.889,65.35,1.47,24.89,77.56,5.85,0.1,60.29,0.69,14.29,0.59
Marlos,1.78,20,78.3,3.17,54.68,88.58,12.27,0.64,66.67,1.93,42.59,0.36
R. Orsolini,2.92,11.628,72.94,2.79,27.38,68.73,6.63,0.24,44,0.71,33.33,0.51
S. Blummel,2.06,17.188,69.29,2.48,31.48,74.64,9.08,0.42,51.72,0.77,20.83,0.41
A. Kanté,1.67,18.519,72.97,2.65,18.12,75.64,3.92,0.25,50,0.52,17.65,0.31
S. Eduok,2.49,10.976,67.03,2.79,26.35,77.53,7.56,0.3,44.74,0.64,28.57,0.36
Ismael Tajouri,1.73,24.39,69.23,2.83,37.49,84.03,7.63,0.51,58.54,1.31,25.81,0.46
K. Coman,2.01,22.222,76.3,4.65,41.05,83.68,5.94,0.8,57.95,0.49,36.36,0.58
R. Nelson,2.03,33.333,63.81,4.13,34.33,85.56,7.29,0.6,71.43,0.75,40,0.91
Baldé,2.8,11.364,57.14,3.09,20.82,68.65,7.29,0.38,55.56,0.54,11.76,0.38
A. Gory,2.34,16.393,62.5,3.5,21.21,77.17,4.42,0.12,56.52,0.61,31.25,0.5
C. Bone,1.65,24.39,61.22,1.33,43.17,83.29,10.36,0.36,56.92,0.64,31.25,0.48
I. Hajrović,3.36,13.158,67.36,2.57,23.93,75.97,6.55,0.49,53.73,0.53,33.33,0.67
G. Robail,2.31,15.873,56.76,2.64,33.6,71.65,9.67,0.4,61.11,1.32,33.33,0.55
G. Chakvetadze,2.05,13.636,71.33,3.19,35.32,82.7,7.75,0.71,57.82,1.98,39.06,0.4
D. Pabón,3.01,7.407,64.92,2.08,28.32,67.69,6.98,0.47,47.67,1,37.78,0.6
Portu,1.15,25,54.84,3.53,20.21,72.73,4.79,0.37,55.91,0.72,36,0.32
Joaquín Muñoz,1.37,28.947,70.56,2.78,25.46,65.67,8.2,0.36,44.21,1.84,25.49,0.62
I. Atanga,1.91,25.714,56.63,5.89,18.83,76.23,3.66,0.6,52.63,0.44,50,0.82
D. Biseswar,1.82,16.667,77.84,2.4,42.37,81.38,12.2,0.55,54.25,1.49,34.69,0.48
Felipe Anderson,1.57,16.949,66.67,2.52,46.13,76.64,12.58,0.5,53.81,2.57,40.21,0.38
V. van Crooij,1.77,17.647,51.28,2.78,19.19,71.97,3.96,0.17,38.71,0.21,16.67,0.38
K. Lovrić,3.84,11.364,76.52,2.27,20.68,60.13,7.15,0.22,41.94,1.27,24.14,0.53
Ricardo Horta,1.83,17.241,64.29,2.78,32.62,78.95,8,0.44,50,1.36,37.21,0.41
J. Navrátil,1.6,14.516,67.89,3.94,34.3,73.03,5.41,0.95,48.92,0.54,33.33,0.44
D. Avdijaj,1.82,22.581,61.38,2.52,26.99,73.26,7.57,0.59,44.44,1.23,28.57,0.53
O. Zubkov,3.76,12.658,70.09,2.62,35.16,73.44,12.34,0.38,50,3.1,27.69,0.57
J. Quiñones,2.9,10.843,67.72,4.15,33.72,82.4,5.13,0.73,53.16,0.59,47.06,0.48
A. Reach,1.83,10.465,69.04,1.91,30.78,79.42,7.42,0.57,64.14,0.74,34.29,0.34
Y. Bolasie,2.25,13.433,71.38,3.66,25.86,66.15,6.78,0.6,38.89,0.77,21.74,0.5
R. Alessandrini,3.04,16.667,59.35,3.49,37.83,72.36,9.44,0.56,42.27,1.57,25,0.73
A. Townsend,1.86,11.538,77.33,2.1,33.41,76.32,7.82,0.64,54.49,0.64,33.33,0.24
O. Hernández,2.37,9.677,71.69,4.93,24.71,76.24,4.49,0.38,57.3,0.15,33.33,0.43
M. Cafaro,2.64,13.235,60.91,1.24,25.91,69.76,7.72,0.39,42.68,1.2,29.03,0.43
M. Pereira Lage,2.7,7,68.09,3.43,29.88,75.52,8.45,0.49,41.35,1.19,22.73,0.32
M. Ngalina,1.53,22.222,65.45,2.59,21.29,68.92,4.88,0.55,47.37,0.72,47.06,0.47
Carles Pérez,2.28,14.754,70.4,2.88,29.65,84.09,4.79,0.26,62.07,0.49,46.15,0.53
Y. Akgün,1.83,25,67.52,3.14,31.79,81.47,7.66,0.29,62.5,1.09,36.84,0.45
C. Penilla,2.47,12.162,69.55,3.04,28.82,65.97,7.24,0.43,47.79,1.47,36.36,0.36
A. Marin,1.71,13.793,65.6,2.65,28.78,74.44,7.71,0.59,56,0.88,26.67,0.53
A. Sutormin,1.94,14.754,59.49,2.22,34.2,75.88,8.95,0.57,42.86,0.82,23.08,0.22
K. Grosicki,2.73,7.895,62,4.51,27.8,65.06,6.16,0.72,38.29,0.77,25,0.56
M. Lema,1.97,15.789,54.29,2.6,21.49,83.57,4.98,0.31,33.33,0.21,0,0.31
T. Přikryl,2.11,12.903,65.55,4.35,29.6,71.76,7,0.65,57,0.92,25.93,0.61
G. Kilic,2.8,15.254,67.21,2.09,23.98,71.49,7.98,0.09,52.38,0.62,53.85,0.66
J. Botaka,1.03,20.93,72.59,1.39,41.86,77.69,13.01,0.24,43.48,0.53,36.36,0.22
K. Bellarabi,3.16,16.981,67.42,3.88,41.42,73.2,9.13,1.25,47.32,1.25,33.33,0.9
G. Kerk,1.64,14.545,58.02,3.91,18.66,68.64,4.03,0.33,45.26,0.3,10,0.48
